word,severity,vibe,pos
cock jockey,2,explicit,
cock knocker,2,explicit,
cock licker,2,explicit,
cock munch,2,explicit,
cock rider,2,explicit,
cock smoker,2,explicit,
cock snot,2,explicit,
cock suck,2,explicit,
cock sucker,2,explicit,
cock sucking,2,explicit,
cock sucking boiolas,3,explicit,
cock sucking nob jokeys,3,explicit,
cock tease,2,explicit,
cock-face,2,explicit,
cock-gobbler,2,explicit,
cock-head,2,explicit,
cock-sucker,2,explicit,
cock-suckers,2,explicit,
cockboy,2,explicit,
cockeater,2,explicit,
cockface,2,explicit,
cockgobbler,2,explicit,
cockh3ad,2,explicit,
cockhead,2,explicit,
cockheads,2,explicit,
cockhed,2,explicit,
cockless,1,explicit,
cocklicker,2,explicit,
cockmonger,2,explicit,
cockmunch,2,explicit,
cockmuncher,2,explicit,
cocks,2,explicit,
cockshit,2,explicit,
cockskin,2,explicit,
cocksmoker,2,explicit,
cocksucc,2,explicit,
cocksuccas,2,explicit,
cocksuccer,2,explicit,
cocksuccers,2,explicit,
cocksuck,2,explicit,
cocksuckas,2,explicit,
cocksucked,2,explicit,
cocksucker,2,explicit,
cocksuckers,2,explicit,
cocksucking,2,explicit,
cocksucking mothafuckers,3,explicit,
cocksucks,2,explicit,
cocksuk,2,explicit,
cocksuka,2,explicit,
cocksukka,2,explicit,
cocsuck,2,explicit,
cokmuncher,2,explicit,
coksucka,2,explicit,
coolie,2,explicit,
coon,3,explicit,
coon1es,3,explicit,
cooni3s,2,explicit,
coonie,3,explicit,
coonies,3,explicit,
coons,3,explicit,
coot,2,explicit,
coot coot,1,explicit,
cooter,1,explicit,
cooter shooting,3,explicit,
cooterpuffing,2,explicit,
cooties,1,explicit,
cotton picker,3,explicit,
crazy mofos,1,explicit,
crazy sob,1,explicit,
creampie,2,explicit,
crotch,1,explicit,
crotch fiddler,2,explicit,
crotchy,1,explicit,
crow,1,explicit,
crows,1,explicit,
cuksuker,2,explicit,
cuksukka,2,explicit,
cum goon,2,explicit,
cumball,2,explicit,
cumdumpster,3,explicit,
cumming,2,explicit,
cums,1,explicit,
cumslut,3,explicit,
cumz,2,explicit,
cunnilingus,2,explicit,
cunt,3,explicit,
cunt ass,3,explicit,
cunt fart,3,explicit,
cunt lick,3,explicit,
cunt licker,3,explicit,
cunt lips,3,explicit,
cuntasaurus rex,3,explicit,
cuntbag,3,explicit,
